Gene	TCGA-AA-3850	TCGA-AA-3845	TCGA-AA-3852	TCGA-G4-6302	TCGA-AA-3492	TCGA-G4-6314	TCGA-G4-6311	TCGA-A6-2672	TCGA-DM-A1HA	TCGA-DM-A1HB
THSD7A	16	19	24	507	2	235	48	88	64	48
LIG3	450	542	668	1196	803	1927	2094	1371	3130	2278
RPAP3	329	1097	483	1202	336	1451	1289	381	2606	1766
ACSM3	744	169	255	176	664	416	294	122	342	322
REXO5	130	84	110	162	138	208	150	223	634	408
CIAPIN1	1345	1103	1069	1621	2965	2650	2451	833	2695	3690
SPPL2B	2863	683	1816	1328	1321	3904	3196	1501	3711	3679
FAM214B	704	427	500	1163	400	1582	1138	385	1584	1643
COPZ2	99	53	155	966	112	809	316	58	35	213
PRKAR2B	128	222	320	368	28	308	191	174	21	100
MSL3	503	632	436	945	630	1575	1155	634	816	1444
CREBBP	1151	1835	1342	4692	1121	5930	5812	4588	6476	3799
TSPOAP1	195	93	67	543	22	754	373	902	277	55
MPO	22	4	12	14	4	6	10	6	10	2
PON1	2	0	2	2	0	3	1	10	3	2
GCFC2	248	546	152	581	227	601	648	323	1096	645
WDR54	134	292	335	405	460	531	327	237	634	1799
CROT	321	238	175	608	282	305	708	190	560	316
ABCB4	20	11	57	60	13	94	49	30	5	9
KMT2E	902	1445	1055	3123	488	5602	4297	3041	7486	3149
RHBDD2	1374	1450	3051	2827	2239	4063	3299	588	17376	4936
SOX8	7	188	43	60	93	81	70	128	1762	194
IBTK	997	1842	839	2153	920	2930	2448	2083	5008	8539
ZNF195	401	566	337	534	295	3320	842	1273	2434	1249
MYCBP2	632	793	503	3105	537	4661	2811	6423	3381	1852
FBXL3	519	1483	359	2004	424	2839	2233	815	5366	1912
ITGAL	274	293	169	593	160	427	774	608	189	99
PDK2	358	501	176	1038	1310	1164	878	267	2571	955
ITGA3	2218	4248	2172	10288	3773	3921	6948	3573	15673	18604
ZFX	300	871	251	1434	473	1340	1041	1813	1089	987
LAMP2	1749	2482	1395	4723	2229	7259	7676	1526	6049	4946
ITGA2B	3	0	7	6	0	8	17	10	8	12
ASB4	21	0	4	0	8	1	4	6	9	33
GDE1	1993	2420	2205	3048	2179	6656	4654	1603	5073	5320
REX1BD	843	842	1474	597	692	1417	1404	144	3466	1315
CRLF1	14	34	10	181	10	121	76	50	55	40
OSBPL7	881	295	703	637	777	873	1213	709	1110	1094
TMEM98	1170	659	1461	3022	2508	6492	2657	268	1434	1924
YBX2	391	405	626	207	571	1521	463	1061	3953	686
KRT33A	0	0	0	0	0	0	0	0	0	0
MAP3K14	271	422	342	1096	387	1079	692	454	763	716
ABCC8	5	5	3	37	22	12	1	2	4	38
CACNG3	0	0	0	0	0	0	0	1	0	0
TMEM132A	545	1178	1370	1471	281	4733	2008	1004	384	1843
AP2B1	4385	6455	5006	11650	7029	16307	13234	7028	15323	20428
TAC1	9	33	9	578	16	86	37	0	40	22
ZNF263	465	645	541	1030	1042	2039	1923	768	2769	2065
CX3CL1	275	135	442	2104	615	1326	466	816	219	728
SPATA20	1933	842	2332	2456	2351	3564	1605	676	5082	1008
CACNA1G	7	1	0	17	5	8	5	8	3	17
TNFRSF12A	749	2908	944	2837	927	2817	3912	545	11157	2681
DLX6	3	0	5	1	2	67	11	1	8	0
MAP3K9	352	243	414	480	175	911	635	800	248	1221
RALA	1135	2030	1488	2513	1385	4140	3927	1174	7919	4823
BAIAP2L1	2481	2777	2354	2379	1679	4610	4503	2606	14883	5997
KDM7A	909	1100	856	1635	657	3668	2813	2533	3078	2564
ETV1	45	3229	158	1241	63	759	341	629	666	541
AGK	403	890	838	812	763	1568	1241	297	2187	924
ALDH3B1	587	350	635	1294	1132	663	1054	425	5041	4273
TTC22	864	735	469	612	697	626	1487	437	1054	1275
PHTF2	276	677	280	1186	195	1287	1282	407	961	984
CCL26	3	7	78	20	0	20	25	11	11	300
FARP2	1102	1152	1308	1740	1053	3438	3091	3869	3006	3412
USH1C	3090	817	2065	1163	7497	5856	4805	2868	9268	7851
GGCT	595	433	1226	1172	358	3104	2725	282	2662	3482
DBF4	306	446	336	332	339	1269	1118	412	1364	1506
TBXA2R	47	31	36	232	24	176	80	14	39	55
IFRD1	652	955	510	1266	645	3556	2256	677	4783	1374
LGALS14	0	1	1	0	0	3	0	0	1	0
COX10	591	313	577	870	866	1019	596	479	641	1593
GTF2IRD1	1150	720	962	1681	1317	3156	3759	1002	10813	1594
PAF1	761	908	740	2555	1331	2739	2182	592	3628	3783
VPS41	694	1130	917	2086	1164	2588	2408	1054	2614	1905
ARHGAP44	377	294	73	280	143	748	464	367	62	583
ELAC2	1645	1315	2052	3240	2709	3140	2128	1341	2725	5451
SCIN	176	302	192	827	164	83	442	77	23	571
ARSD	1061	1029	1325	2445	1911	4711	4088	1423	5128	5009
PNPLA4	234	273	357	463	781	880	551	113	1003	1104
MYH13	1	3	2	3	4	0	4	23	0	1
ADIPOR2	2151	2259	2310	4042	2596	7250	4868	1664	6064	7473
CDKL3	2	10	5	19	1	26	31	37	69	46
UPP2	1	3	2	4	3	2	1	8	5	2
PRSS21	27	4	1	424	3	11	20	2	1	1994
MARK4	300	386	355	1293	379	1406	1178	420	2231	1221
PROM1	328	619	1444	2754	188	8908	3338	3445	206	15582
CCDC124	752	807	1337	2197	1281	3517	2877	142	3761	4978
CEACAM21	45	15	15	47	23	42	27	45	6	70
PAFAH1B1	1808	3808	1563	6602	2759	5067	3449	2604	4196	5809
NOS2	2078	346	1258	3643	1829	1488	181	6263	309	3333
DNAH9	0	4	9	11	0	12	8	147	79	7
KIAA0100	2929	2371	2989	8211	4291	13184	8742	6202	8413	8406
SLC13A2	13	39	49	3	66	32	20	0	1	1
GAS7	281	339	327	3511	226	2548	1093	644	102	213
TRAPPC6A	459	151	775	481	1234	1073	1247	68	3662	1465
MATK	19	34	61	159	40	81	184	21	48	88
CEACAM7	21192	10232	380	1133	437	206	22542	5394	8	2835
CD79B	125	53	33	182	57	104	423	19	26	40
SCN4A	6	7	0	20	0	12	6	0	4	4
ST7L	132	202	111	329	206	490	271	337	428	536
TKTL1	2	2	0	11	0	158	6	4	1	0
PAX6	39	46	106	104	21	106	79	73	158	167
RPUSD1	800	370	1134	841	1129	1669	1877	236	2574	1815
RHBDF1	992	704	981	1490	908	2018	2649	706	5331	1057
LUC7L	683	1093	488	805	510	1964	1218	1218	2118	1910
CACNA2D2	184	30	261	206	7	704	72	60	42	16
BAIAP3	129	25	36	228	135	87	106	42	3036	133
TSR3	843	638	959	1599	661	1860	1923	208	3066	2391
PIGQ	689	660	1180	1559	842	2096	2186	484	3162	2173
CRAMP1	272	397	252	645	264	1215	1117	388	1092	773
TEAD3	702	769	731	4682	1046	3450	2210	910	4379	2479
SELE	56	154	96	442	64	135	118	47	15	21
DNAJC11	963	683	770	1549	1275	1410	1851	1086	2234	2942
FMO3	20	42	12	117	40	185	59	37	8	13
MYLIP	376	834	440	1781	616	2062	855	480	1603	807
NOX1	5033	778	5771	2578	8164	821	4794	401	53	8008
E2F2	418	186	346	352	547	696	614	671	247	1151
SYN1	27	12	12	375	8	91	35	14	17	268
JARID2	267	343	322	823	156	2502	1298	955	1020	1455
CDKL5	157	161	178	586	21	724	598	486	80	372
CAMK1G	7	7	11	60	9	18	20	54	7	13
CDK11A	159	90	89	242	12	246	305	196	673	403
NADK	2305	1075	1548	2698	2450	3018	3728	1088	4780	4315
TFAP2B	0	0	0	0	0	1	0	0	0	1
TFAP2D	0	0	0	0	0	0	0	0	0	0
DLEC1	22	9	91	24	3	33	30	235	108	31
CYTH3	338	515	359	1767	556	1193	1583	463	1139	1059
ADAM22	30	388	106	367	117	262	177	636	113	140
SYPL1	2205	3627	3487	6851	2324	8617	7333	833	9410	8964
CYB561	1418	2969	2486	3316	2411	5882	4979	1312	4206	4478
SPAG9	1259	1950	724	3788	1799	4758	4719	3170	4501	2249
CELSR3	453	69	130	826	97	2037	2013	1306	3768	457
AASS	36	33	19	240	17	120	131	169	93	59
PLEKHG6	783	1092	1386	714	1058	4977	2167	574	2123	1077
SS18L2	181	233	248	339	202	649	575	89	1061	931
MPND	397	266	337	701	535	1237	1089	166	757	1226
MGST1	2177	2509	3158	1742	1711	2578	3666	1600	2011	4568
CRY1	230	738	408	1027	383	1161	765	351	1491	1250
PGLYRP1	2	1	5	1	2	5	5	18	14	2
NFIX	1323	1068	1351	8504	858	6862	7443	1651	3229	3545
ST3GAL1	342	284	229	3834	191	1223	1210	1700	216	1170
MMP25	145	59	93	66	28	68	99	143	73	24
IL32	2814	1399	2733	6354	4280	6296	11325	1539	9294	7048
PKD1	751	717	1350	6858	531	5328	3092	1637	3191	2327
MAPK8IP2	13	43	11	409	3	131	265	61	54	58
MED24	1860	1062	1794	2794	3206	6024	4840	1277	4585	5328
RHOBTB2	215	130	290	2045	278	811	630	311	137	730
HEATR5B	524	655	313	1028	524	1109	1108	1135	1563	1399
SEC62	1504	2824	1158	5797	1579	6388	4673	800	5931	8119
CSDE1	6380	12004	5877	30194	11228	27610	16725	7527	13366	28413
UBE3C	1984	3784	2760	4881	2796	4669	5378	2815	6540	5875
REV3L	270	733	222	1687	256	1273	776	1884	885	771
TENM1	1	7	5	79	0	36	6	83	3	1
PAX7	0	0	0	0	0	115	0	1	0	7
MASP2	20	30	17	35	13	25	13	242	64	10
IYD	451	246	360	291	664	3086	1422	131	1771	246
FAM76A	164	338	190	530	190	542	529	432	510	439
TRAF3IP3	85	78	77	142	58	135	175	205	62	39
POMT2	344	263	708	698	294	1629	684	573	541	1053
VTA1	730	1647	683	1805	1213	2847	2302	651	3669	4090
MLXIPL	226	125	824	479	1043	1630	704	1079	6449	1899
BAZ1B	1217	2192	2032	4201	1806	8041	6149	4146	8995	5639
RANBP9	733	1467	573	2135	1104	2171	2299	1046	3245	2460
ETV7	119	408	151	416	502	378	605	548	1080	545
SPRTN	176	309	150	395	226	685	512	192	641	656
METTL13	769	613	911	1479	1371	2620	3781	591	1901	2063
DYRK4	366	414	595	729	752	536	448	286	887	1021
ZNF207	2827	3129	2918	4405	4777	7326	7194	4247	9808	9433
UQCRC1	8394	5533	7944	10369	20854	12240	7815	2034	14792	27139
STARD3NL	691	940	575	1154	658	1877	1148	392	2118	1234
CD9	7709	13427	10927	16326	14686	23401	18164	3055	13048	15974
HHATL	0	0	0	0	0	2	1	1	5	0
NCAPD2	1503	2677	1670	3399	3907	10413	5498	3429	8455	9644
IFFO1	192	88	194	700	89	516	289	136	115	97
GIPR	169	60	19	53	31	26	70	52	134	201
PHF7	99	69	109	114	143	173	106	163	155	234
SEMA3G	66	68	76	1361	67	739	154	51	156	137
NISCH	1102	977	1172	3482	1202	4844	2579	2393	1995	3016
STAB1	1539	494	1103	3935	566	3197	853	1601	441	603
FUZ	161	39	78	251	19	365	407	45	77	22
SLC6A13	0	0	0	1	0	1	0	3	19	3
IDS	768	2555	504	4533	568	3067	3803	995	4525	1582
PRSS3	2217	422	2026	2362	2945	1870	3126	994	10513	9834
ZNF200	191	317	210	442	382	513	415	237	757	1066
CD4	1017	612	672	1825	801	1753	1253	815	254	329
LRRC23	63	141	92	298	137	503	148	56	539	381
BTK	138	76	68	182	74	143	340	151	38	58
HFE	288	725	215	537	770	489	543	455	1651	847
SCMH1	823	520	567	2786	736	1758	1428	1021	3002	1417
FYN	231	2536	629	1868	244	2695	674	1237	1639	1388
HIVEP2	317	1130	294	1812	268	1849	1676	1711	2352	1093
FMO1	15	40	12	29	10	31	55	36	15	29
ELOA	796	967	762	2178	814	1734	2353	1283	2750	4169
LYPLA2	1920	2652	1572	2816	2555	3554	3669	681	7881	5023
CLCN6	299	220	196	776	205	827	635	959	1234	476
MRC2	747	708	1374	9731	481	11623	5125	953	382	2197
NME1-NME2	13	15	12	38	12	72	57	4	83	102
SLC6A7	132	21	113	38	86	32	65	1038	29	98
TSPAN9	465	457	647	3025	491	3152	1291	450	1409	1430
BTBD7	726	941	833	2020	536	2230	1461	1428	1116	2007
APBA3	299	265	411	583	393	877	729	192	753	487
MKS1	275	287	329	439	611	831	714	198	732	815
ABHD5	332	472	250	519	485	645	543	279	366	713
ANOS1	45	165	152	677	137	859	717	199	23	172
AKAP8L	497	525	506	967	436	2063	1927	753	4201	1458
MBTD1	254	543	274	578	202	1453	1263	709	1242	878
UTP18	650	1357	846	1040	1517	2516	2230	294	3154	2492
RNF216	666	893	1088	3348	489	4202	2889	1431	6331	2079
TTC19	1097	1772	1063	1939	1695	2270	1394	2106	2018	4310
PTBP1	6022	8584	8392	10819	7452	21507	19659	4359	21352	22842
DPF1	14	6	13	31	55	22	26	34	17	24
SYT7	911	132	859	1019	696	3262	5622	164	4267	1085
LARS2	974	530	1030	1067	940	3331	1640	999	1911	2013
PIK3C2A	576	1087	490	2130	514	3541	1888	2450	2948	2702
PLAUR	1131	2203	1285	3461	1668	2754	6547	1620	5572	7572
ANLN	547	4014	958	1036	1023	3747	3224	1417	6060	6745
WIZ	1061	1070	1237	2890	627	4002	3981	851	5423	2323
RABGAP1	648	1650	1053	3266	538	3985	1993	1826	4126	2459
DCN	3873	2805	5067	22338	4506	14842	11876	2377	338	4505
QPCTL	311	123	249	406	381	891	706	138	1186	1334
PPP5C	1496	1461	1450	2421	2949	3527	2992	1106	4171	4123
CEP68	314	240	397	1408	329	1577	1051	910	1677	730
MAP4K3	551	1504	328	1272	593	2035	1314	712	1631	2584
ZBTB32	31	3	12	17	21	24	25	134	11	21
TYROBP	538	455	785	1826	820	1061	1357	268	455	613
TMEM159	399	383	976	1540	995	1937	1737	382	1596	1645
GABRA3	0	0	170	4	0	3	0	2	31	0
BRCA1	353	331	450	414	556	2112	1636	1295	1166	1641
ERCC1	763	1714	670	1589	898	2016	1661	521	3841	2749
CD22	23	71	24	114	15	85	1042	93	83	33
SEMA3B	1119	4658	804	4876	707	5447	1550	816	2232	2985
MBTPS2	313	602	285	959	319	1501	1408	340	1526	1521
PRICKLE3	169	336	272	367	336	775	593	177	993	572
LTF	50	35	94	117	126	253	721	13	7	95
EXTL3	473	1597	1436	3217	559	2352	1257	1009	1118	3608
NR1H4	17	41	3	16	17	1	186	55	0	0
ELOVL5	876	541	254	4192	1264	5998	4931	549	101	246
ALOX5	220	205	2346	1821	213	503	749	1157	47	564
KDM5D	854	1	458	0	0	1	467	0	3677	1527
CALCOCO1	1234	734	1092	5292	1196	2743	1726	883	3361	2228
UBR7	826	937	894	1491	1457	2056	1588	738	641	2038
MAP4K5	483	1241	517	1591	450	2009	1626	938	2035	1699
EHD3	144	62	158	1283	321	732	324	148	94	164
MAN2B2	1406	839	879	2242	1081	3459	2678	1341	4420	3252
SLC7A14	2	2	0	194	0	33	3	4	6	2
CLDN11	13	33	19	368	3	103	24	8	136	8
SLC25A39	4764	2676	5371	5639	8176	10634	10668	1370	13100	15881
MVP	6939	6722	7770	16760	9943	11905	17405	4399	20196	23414
NUB1	972	1981	1448	3882	1824	3628	3301	1566	5254	3188
PGM3	633	951	593	1723	1350	1624	1683	1223	2742	5643
RWDD2A	180	152	177	310	266	284	224	186	371	559
CLK1	748	1524	578	1608	677	1853	1749	773	3203	2467
POLR3B	278	295	409	516	312	636	540	304	418	1123
ANGEL1	652	534	1289	1159	954	2290	2363	841	2080	1187
RNF14	889	1263	546	1652	1222	1901	1762	364	2987	1857
DNASE1L1	442	221	343	725	453	1199	991	231	2555	748
DDX11	532	871	734	588	686	1617	1292	939	1533	2077
HEBP1	513	1010	951	1606	797	2758	1317	428	2414	1273
GPRC5A	6074	12636	11716	31255	7608	29240	22156	17627	51346	40694
MAMLD1	42	131	110	416	30	262	61	156	31	58
CD6	205	134	204	305	114	307	146	323	114	101
TACC3	1239	1469	1451	1530	2111	2984	2945	1362	4929	5736
UFL1	616	1279	376	1283	524	2034	2142	447	3493	2983
POLA2	559	621	647	801	1336	1891	1094	958	1413	2053
ZC3H3	457	378	926	1127	537	2342	2078	551	3377	1297
CAPN1	6157	13820	8105	12304	11599	16014	14704	4351	21120	18413
ACPP	255	55	208	109	131	76	261	139	9	646
MDH1	2747	1894	1978	5627	5215	4415	3607	1104	6721	10501
SLC30A9	1424	1829	1281	2675	1924	3905	3071	1364	3440	5693
MTMR11	2866	783	523	1285	3125	4240	3678	1316	5866	1190
COX15	1024	1007	1220	1594	2660	2666	1267	1199	1916	3565
CCDC88C	1052	2158	981	1161	650	2714	2140	1961	1205	3572
YAF2	201	608	249	528	163	944	566	555	735	720
ZMYND11	1020	1983	810	3840	1537	3194	2539	1244	3362	2662
WAS	161	136	153	390	87	336	343	141	104	107
DPEP1	12623	45	4834	3243	7101	10266	9400	23	5079	631
BID	1178	1098	1275	1108	2420	2772	2030	940	1663	2751
MATR3	33	96	30	120	10	183	134	898	223	189
NPC1L1	29	1	99	950	1198	70	20	2	28	130
XYLT2	539	494	817	1517	753	3168	1702	965	3033	2435
RGPD5	0	0	1	0	0	0	0	3	2	0
STMN4	0	2	2	113	0	17	3	2	4	1
NUDCD3	1348	1368	2408	3718	2689	5786	5199	1602	6685	3372
ISL1	0	2	60	69	8	0	4	59	0	183
CHDH	404	973	1817	654	948	6170	1985	1734	4432	2950
IL20RA	1190	1652	445	475	946	765	1228	400	2465	1102
CLCA1	9787	19712	112245	235	1304	160	8556	16	0	8
CLCA4	1761	3298	58	25	44	9	2654	54	0	56
GLT8D1	729	839	791	1705	1152	3012	1366	751	1298	2986
ATP2C1	1768	2652	1796	4103	2756	7303	6341	1726	4239	5867
IGF1	21	3	7	197	3	56	11	8	1	3
SLC38A5	1158	359	2182	1568	2887	182	1243	682	3864	13937
RALBP1	1312	1431	1285	4404	1660	3072	3773	975	8022	4287
RUFY3	235	560	185	955	212	1042	668	873	1387	1627
CNTN1	11	15	22	844	11	136	33	6	2	30
SLC11A1	87	165	231	796	174	304	1097	861	177	869
WWTR1	286	5323	244	6375	173	2536	964	414	370	915
AGPS	1286	1951	1108	2988	1343	3418	2636	1419	2491	3045
ZNF806	0	0	0	1	0	0	0	1	0	1
CXorf56	297	393	250	807	787	1104	1449	190	1599	1272
ATP1A2	8	2	5	1658	1	1258	15	4	6	4
TTC27	250	394	395	753	625	1224	1016	377	1369	966
ZNF582	11	20	2	62	6	49	15	7	3	8
VSIG2	1694	650	712	57	41	45	714	16	4	1253
PHLDB1	1096	761	789	3781	2056	3025	1914	2299	1107	746
MARCO	12	26	185	460	36	407	587	82	12	257
CYP24A1	14	1148	25	6	0	10	43	1	41	2
PRDM11	162	167	149	895	364	887	333	309	1139	141
SYT13	152	873	97	2989	1619	1328	710	2998	25056	3812
SNAI2	103	281	100	423	133	533	412	244	80	176
CD74	19041	21214	19012	85860	24612	35202	26697	10326	59452	11614
HGF	69	42	29	426	37	366	71	33	11	18
ZRANB1	187	292	196	905	261	803	519	507	412	591
NCDN	353	407	517	1811	299	1651	1238	344	2308	1532
ADGRA2	605	332	793	4603	327	3414	1758	606	231	452
CCT8L1P	0	0	0	0	0	0	1	1	1	0
ZFP64	323	433	395	898	517	1760	1935	430	1533	1218
MNAT1	119	867	215	449	160	620	374	129	634	712
SAMD4A	119	182	292	3618	46	958	757	762	832	375
RUNX3	227	196	200	362	144	564	520	402	4528	129
MRE11	389	298	362	606	327	1637	1301	338	1763	977
PLEKHB1	238	2222	1309	650	164	4732	664	213	8133	2030
SERPINB1	5475	5640	7223	5843	9049	7356	10308	4047	12423	33361
CYP3A43	1	0	1	0	0	0	0	2	2	0
SLC7A9	4	1	1	46	65	12	21	3	7	2
SPAST	379	942	239	811	304	1297	1053	320	1984	1444
NRXN3	196	14	36	1654	14	557	149	67	11	10
OSBPL5	988	1025	810	3275	923	3062	2089	1190	949	2979
AQR	806	1246	829	1876	1253	2980	2346	1786	1769	3168
CPS1	8	7	37	88	93	115	22	17	1	237
C8B	0	0	0	0	0	0	0	0	0	1
FHL1	555	239	231	13703	355	4736	525	196	132	138
RTF2	1076	2037	1228	3160	1987	5932	7958	676	11602	5027
GABRA1	0	0	0	8	0	0	0	0	0	0
NLRP2	26	697	9	110	19	4162	1387	11	3	6
SLC45A4	472	276	622	1664	291	2300	2125	1208	2804	1840
RNF10	2292	5507	3550	7679	4466	7532	5391	2744	12322	8742
ZNF839	134	125	218	214	116	246	149	276	253	379
ZDHHC6	927	1066	583	1321	1610	2651	2244	744	1536	2165
GRAMD1B	48	38	52	1734	1046	130	93	1102	1723	1800
RNH1	3067	3287	3999	7611	6175	7664	5685	1062	9318	7792
NDUFS1	2583	1922	1798	4353	4830	4653	4753	2976	4705	7258
RB1CC1	460	1334	478	2560	410	3742	3388	920	2033	2035
ERP44	1486	1726	2192	3389	1629	3829	3219	1582	8583	8107
ALAS1	2030	3722	1273	2725	2668	4028	2390	1705	5592	9359
BIRC3	764	1127	500	2658	748	1014	2128	2172	1014	2204
AKAP11	731	1147	537	2318	648	4630	4244	4201	5841	2462
GLRX2	139	222	127	238	94	299	460	35	511	785
SNAPC1	42	255	109	230	75	292	248	81	195	472
DERA	862	1147	1082	1214	1081	1762	1307	331	2967	1524
STRAP	2193	4092	3144	4625	2548	6303	5458	1257	8019	4184
ABCC2	25	10	10	32	98	46	24	86	3489	136
DEF6	570	672	401	592	1084	682	826	407	1458	1014
PLEKHO1	448	431	440	5927	361	2833	1134	562	379	663
GCLM	402	923	362	518	347	666	1020	479	703	1172
UBR2	874	1257	608	2422	955	2251	2367	2671	3311	2666
EHD2	796	719	1039	13994	499	6930	2610	527	486	1426
DEPDC1	257	564	227	232	332	493	478	382	362	1706
CCDC28A	238	322	270	714	517	648	818	125	1740	1215
RRAGD	58	79	70	456	43	233	245	92	56	53
HSF2	151	381	125	491	254	576	509	177	1052	611
PHF20	528	1198	573	2023	687	2986	3467	1412	4313	2364
HSD17B6	37	33	32	594	30	317	70	35	10	47
NR1H3	1062	563	292	817	1092	1044	1199	543	2003	1719
TYMP	1330	1381	1274	4051	1174	2681	2965	1208	1764	1460
NCAPH2	832	713	1064	1518	2303	2810	1898	452	1392	2504
TOMM34	947	1677	1035	1461	1743	3745	5946	427	9893	4234
SEC63	1173	2362	930	3735	975	5403	4662	1138	6984	4612
KPNA6	1261	1594	1310	4014	1399	3047	3232	3374	5257	4758
VIM	4761	4780	5671	46441	6328	28314	18200	3599	3205	9465
RTEL1-TNFRSF6B	123	145	105	115	39	137	212	691	457	664
FAS	582	685	330	1093	363	393	408	390	291	1999
RNASET2	1744	694	1260	4912	1751	1717	3427	1116	5990	7030
CD44	5134	3417	7835	11417	3065	16145	9464	12490	5113	36258
KCNG1	13	22	8	354	4	155	55	8	12	10
AGPAT4	129	512	299	731	68	696	283	401	33	647
SLAMF7	1249	566	206	515	395	252	385	532	134	46
BTN3A1	669	2519	625	1919	1868	1309	962	2647	4366	1550
