NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY		177	0.5115283	1.4126623	0.003911343	0.23896451	0.974	8827	tags=43%, list=16%, signal=51%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION		46	0.6066171	1.4099828	0.028831564	0.23059104	0.977	8667	tags=52%, list=16%, signal=62%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION		70	0.55832255	1.395447	0.030567685	0.24982715	0.99	8667	tags=43%, list=16%, signal=51%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		90	0.5443906	1.3948402	0.02733813	0.23751332	0.99	8827	tags=47%, list=16%, signal=56%	
KEGG_MELANOMA	KEGG_MELANOMA		71	0.55108845	1.3927435	0.025914634	0.2306253	0.99	10286	tags=45%, list=19%, signal=56%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		212	0.48879337	1.3800303	0.0038510913	0.24932833	0.994	10248	tags=39%, list=19%, signal=48%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		68	0.55289906	1.3636303	0.036036037	0.27659193	0.996	8923	tags=37%, list=17%, signal=44%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION		384	0.46061656	1.3547559	0.008101852	0.28432557	0.996	13299	tags=12%, list=25%, signal=16%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY		261	0.47581673	1.3542	0.007202881	0.2735081	0.996	10019	tags=43%, list=19%, signal=52%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE		127	0.5013073	1.353568	0.02097902	0.26369438	0.996	7366	tags=28%, list=14%, signal=32%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		85	0.5246217	1.3504399	0.044222537	0.25988796	0.997	8549	tags=44%, list=16%, signal=52%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		30	0.6180604	1.3455492	0.090614885	0.26050007	0.997	5119	tags=33%, list=10%, signal=37%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		129	0.50508034	1.3404839	0.019607844	0.26069516	0.997	8944	tags=35%, list=17%, signal=42%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS		41	0.5752887	1.339134	0.07761194	0.2538448	0.997	9724	tags=51%, list=18%, signal=63%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		44	0.55448353	1.2955377	0.10843374	0.34930044	1.0	3991	tags=30%, list=7%, signal=32%	
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS		16	0.682506	1.293166	0.15177065	0.34348676	1.0	6454	tags=50%, list=12%, signal=57%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		84	0.5020229	1.2915663	0.06358381	0.3365586	1.0	9648	tags=39%, list=18%, signal=48%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		39	0.5643425	1.2871203	0.1	0.33652398	1.0	2872	tags=28%, list=5%, signal=30%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE		22	0.6178032	1.2801219	0.14125201	0.34435058	1.0	5755	tags=27%, list=11%, signal=31%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		78	0.5060347	1.2798083	0.077598825	0.33506182	1.0	11006	tags=45%, list=21%, signal=56%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION		198	0.45960918	1.273476	0.04903226	0.34156594	1.0	9697	tags=39%, list=18%, signal=48%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		115	0.4790953	1.2643054	0.06760564	0.354863	1.0	8307	tags=34%, list=15%, signal=40%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		24	0.5989083	1.2531637	0.15348837	0.3727565	1.0	7257	tags=38%, list=14%, signal=43%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		188	0.44845086	1.2454737	0.056062583	0.38194057	1.0	8856	tags=39%, list=17%, signal=46%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS		87	0.48723438	1.2426863	0.10110804	0.37867275	1.0	7293	tags=34%, list=14%, signal=40%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		325	0.42580146	1.240859	0.03256936	0.37362602	1.0	9057	tags=34%, list=17%, signal=41%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		66	0.49052325	1.2313297	0.14710252	0.38726366	1.0	8798	tags=42%, list=16%, signal=51%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION		131	0.45618033	1.2279357	0.078249335	0.38709822	1.0	6796	tags=22%, list=13%, signal=25%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE		15	0.6466183	1.2175845	0.20729685	0.4047315	1.0	7877	tags=47%, list=15%, signal=55%	
KEGG_ASTHMA	KEGG_ASTHMA		28	0.56930554	1.2136843	0.17335473	0.40543208	1.0	8915	tags=57%, list=17%, signal=68%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION		51	0.5105154	1.2115389	0.1612426	0.40200043	1.0	9256	tags=35%, list=17%, signal=43%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		55	0.49391347	1.1964726	0.1880597	0.4322632	1.0	9946	tags=47%, list=19%, signal=58%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM		64	0.4809423	1.1826726	0.18492177	0.4595961	1.0	8870	tags=36%, list=17%, signal=43%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES		15	0.6225455	1.1735444	0.24475524	0.4764205	1.0	9005	tags=53%, list=17%, signal=64%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		94	0.4523248	1.1668178	0.1855524	0.48514977	1.0	8556	tags=32%, list=16%, signal=38%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		76	0.4627609	1.1637917	0.19855073	0.48393747	1.0	7947	tags=37%, list=15%, signal=43%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		33	0.5177978	1.1586578	0.21269841	0.48943698	1.0	8071	tags=39%, list=15%, signal=46%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		26	0.54470295	1.1545238	0.2456964	0.49108362	1.0	9934	tags=50%, list=19%, signal=61%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		114	0.4377075	1.153012	0.18156809	0.48644745	1.0	8379	tags=39%, list=16%, signal=46%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		108	0.43859527	1.1423703	0.20781033	0.50781155	1.0	8190	tags=35%, list=15%, signal=41%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM		17	0.58282703	1.1414518	0.28052804	0.5010532	1.0	4660	tags=29%, list=9%, signal=32%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		83	0.4425856	1.126883	0.23352435	0.5342715	1.0	9182	tags=41%, list=17%, signal=49%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		165	0.4047567	1.1172296	0.20512821	0.55197114	1.0	7461	tags=26%, list=14%, signal=30%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM		38	0.4928968	1.10989	0.30261138	0.56391114	1.0	8518	tags=42%, list=16%, signal=50%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		78	0.4380969	1.1090512	0.2651622	0.5568896	1.0	7890	tags=31%, list=15%, signal=36%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		62	0.45452514	1.1006473	0.29481483	0.572113	1.0	9011	tags=35%, list=17%, signal=43%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY		68	0.44176486	1.0990998	0.28290468	0.5673144	1.0	2361	tags=21%, list=4%, signal=22%	
KEGG_RIBOFLAVIN_METABOLISM	KEGG_RIBOFLAVIN_METABOLISM		15	0.5750767	1.0963662	0.33774835	0.5663564	1.0	5130	tags=27%, list=10%, signal=29%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		54	0.45302892	1.0843383	0.31858408	0.5909873	1.0	4369	tags=28%, list=8%, signal=30%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		23	0.52756506	1.0840273	0.3617021	0.58264434	1.0	7636	tags=43%, list=14%, signal=51%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS		53	0.4497472	1.0831234	0.32817337	0.5764611	1.0	9333	tags=30%, list=17%, signal=37%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		102	0.41068542	1.0806779	0.31152204	0.5745653	1.0	7660	tags=26%, list=14%, signal=31%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER		70	0.42606097	1.0789913	0.30113637	0.57075906	1.0	8525	tags=33%, list=16%, signal=39%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		130	0.40115625	1.0766174	0.3068493	0.56876415	1.0	6389	tags=25%, list=12%, signal=28%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA		55	0.4341076	1.0582501	0.37575758	0.6118648	1.0	9011	tags=36%, list=17%, signal=44%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		133	0.3896732	1.0557678	0.34336525	0.6101795	1.0	10028	tags=38%, list=19%, signal=47%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		70	0.4159421	1.0525651	0.36144578	0.610807	1.0	8836	tags=31%, list=16%, signal=38%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		66	0.42402494	1.0469532	0.36430678	0.61884165	1.0	8707	tags=27%, list=16%, signal=33%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY		85	0.40182742	1.037519	0.41820768	0.6351211	1.0	5457	tags=26%, list=10%, signal=29%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		76	0.41592577	1.0334717	0.40223464	0.6373964	1.0	4369	tags=24%, list=8%, signal=26%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA		73	0.41261762	1.0329894	0.39504373	0.6303574	1.0	4299	tags=21%, list=8%, signal=22%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		120	0.38703892	1.032946	0.39973083	0.6221282	1.0	8313	tags=32%, list=15%, signal=37%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		69	0.41776353	1.0309871	0.3827534	0.61939836	1.0	7305	tags=32%, list=14%, signal=37%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		76	0.40073723	1.0284871	0.38210228	0.61820215	1.0	5805	tags=25%, list=11%, signal=28%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION		21	0.4996601	1.0129613	0.43322477	0.6530588	1.0	9702	tags=43%, list=18%, signal=52%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		180	0.3640118	1.0117017	0.43149808	0.64802337	1.0	7577	tags=23%, list=14%, signal=26%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		70	0.40523505	1.0097617	0.44740534	0.6452281	1.0	7498	tags=33%, list=14%, signal=38%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		101	0.38283306	1.000413	0.45285714	0.6631664	1.0	8554	tags=38%, list=16%, signal=45%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		71	0.3926761	0.9976564	0.46244478	0.6622446	1.0	9744	tags=35%, list=18%, signal=43%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY		69	0.40055794	0.9937184	0.4601227	0.6641892	1.0	9869	tags=26%, list=18%, signal=32%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY		62	0.40216565	0.99126846	0.47781065	0.6626898	1.0	10095	tags=35%, list=19%, signal=44%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		79	0.39225563	0.9886711	0.48314607	0.6616115	1.0	8313	tags=33%, list=15%, signal=39%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		54	0.40797085	0.98100054	0.505988	0.67296934	1.0	6472	tags=26%, list=12%, signal=29%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		68	0.39241675	0.9693903	0.512894	0.6952968	1.0	10843	tags=38%, list=20%, signal=48%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		101	0.3593755	0.9537927	0.54771787	0.72672725	1.0	8379	tags=33%, list=16%, signal=39%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS		181	0.34493053	0.94865745	0.5989848	0.73165697	1.0	5109	tags=22%, list=10%, signal=24%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		47	0.39843374	0.94597656	0.5555556	0.7303367	1.0	9380	tags=38%, list=17%, signal=46%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		150	0.33891198	0.9265277	0.62598425	0.7703547	1.0	7358	tags=29%, list=14%, signal=33%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		22	0.45260346	0.9234341	0.576	0.76968175	1.0	2301	tags=18%, list=4%, signal=19%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		41	0.39397663	0.9158889	0.6096096	0.7790093	1.0	3604	tags=20%, list=7%, signal=21%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		89	0.35624412	0.9126207	0.6410614	0.7786482	1.0	5231	tags=22%, list=10%, signal=25%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		34	0.412215	0.90985566	0.61526716	0.77757657	1.0	10267	tags=50%, list=19%, signal=62%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		90	0.34623653	0.8913563	0.6876791	0.813967	1.0	8394	tags=37%, list=16%, signal=43%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		25	0.4276458	0.8869392	0.65244865	0.81645036	1.0	7877	tags=32%, list=15%, signal=37%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA		55	0.37001175	0.8829301	0.65925926	0.8178317	1.0	7002	tags=25%, list=13%, signal=29%	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM		25	0.4206126	0.8823167	0.6368	0.8111807	1.0	11172	tags=32%, list=21%, signal=40%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS		55	0.36795035	0.8821471	0.6742532	0.80349994	1.0	8270	tags=29%, list=15%, signal=34%	
KEGG_LYSOSOME	KEGG_LYSOSOME		120	0.33378422	0.8800125	0.7402945	0.8004462	1.0	9962	tags=28%, list=19%, signal=35%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		35	0.3969529	0.8798917	0.6594761	0.79297227	1.0	10648	tags=37%, list=20%, signal=46%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM		31	0.40402395	0.8797615	0.6386688	0.78560644	1.0	4559	tags=26%, list=8%, signal=28%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		44	0.37016636	0.85065633	0.71794873	0.84077674	1.0	8960	tags=41%, list=17%, signal=49%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		49	0.35584363	0.8486391	0.74488187	0.836936	1.0	9744	tags=33%, list=18%, signal=40%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER		84	0.33018416	0.84582263	0.7849928	0.83534825	1.0	8974	tags=30%, list=17%, signal=36%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY		45	0.3529873	0.8280095	0.78753996	0.86500645	1.0	7064	tags=22%, list=13%, signal=26%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		49	0.35028192	0.82652813	0.77223086	0.86006784	1.0	7536	tags=24%, list=14%, signal=28%	
KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM		17	0.41898155	0.81230307	0.7079796	0.8801496	1.0	8391	tags=24%, list=16%, signal=28%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		56	0.33480588	0.81121653	0.8112633	0.87429696	1.0	3927	tags=16%, list=7%, signal=17%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		41	0.34904197	0.8061262	0.82580644	0.8760795	1.0	6721	tags=29%, list=13%, signal=33%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		26	0.3699676	0.78345513	0.7990115	0.9073747	1.0	4663	tags=19%, list=9%, signal=21%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		69	0.31097993	0.78264964	0.8665689	0.9006718	1.0	10288	tags=32%, list=19%, signal=39%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		42	0.3260364	0.74270636	0.8982512	0.94678277	1.0	10173	tags=33%, list=19%, signal=41%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		24	0.34195894	0.70321363	0.90923566	0.9752836	1.0	9974	tags=25%, list=19%, signal=31%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		43	0.30063447	0.69593245	0.95267177	0.9721009	1.0	11156	tags=30%, list=21%, signal=38%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		29	0.3153994	0.6802165	0.94166666	0.9730783	1.0	9504	tags=31%, list=18%, signal=38%	
