Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	Fisher exact test rank	Fisher exact test p-value	GSEA rank	GSEA p-value
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	17	0.10956148159055851	0.6649248537909758	31.0	21	0.24723614356416193	24	0.24723614356416193	48	0.22302158
KEGG_BETA_ALANINE_METABOLISM	18	0.009317112404671273	0.09110065462345245	32.333333333333336	3	0.07888476639008075	8	0.07888476639008075	86	0.1056701
KEGG_VEGF_SIGNALING_PATHWAY	19	0.07984581719313516	0.5446963972775865	34.666666666666664	20	0.24723614356416193	24	0.24723614356416193	60	0.14252874
KEGG_GNRH_SIGNALING_PATHWAY	20	0.13974864205503068	0.7271100441038586	35.0	26	0.3144365296559319	27	0.3144365296559319	52	0.18233618
KEGG_OLFACTORY_TRANSDUCTION	21	0.7170423220531474	1.0	35.333333333333336	38	0.7628619813458488	38	0.7628619813458488	30	0.33114755
KEGG_ABC_TRANSPORTERS	22	0.024872353307300716	0.20845400867071076	38.0	15	0.15157538122313946	16	0.15157538122313946	83	0.09026128
KEGG_PATHWAYS_IN_CANCER	23	0.0	0.0	38.0	24	0.12213942473611886	13	0.12213942473611886	77	0.0
KEGG_MAPK_SIGNALING_PATHWAY	24	0.0006117965203379664	0.009788744325407462	39.333333333333336	17	0.07457884865961313	7	0.07457884865961313	94	0.0033112583
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	25	0.08493977984241413	0.5536815278616625	42.0	27	0.3469861456620631	28	0.3469861456620631	71	0.05586592
KEGG_CALCIUM_SIGNALING_PATHWAY	26	0.0	0.0	44.333333333333336	8	0.028896806131764596	3	0.028896806131764596	122	0.0
KEGG_FOCAL_ADHESION	27	0.12355306003298094	0.7248446188601549	48.0	34	0.5232434899493694	34	0.5232434899493694	76	0.016949153
KEGG_BUTANOATE_METABOLISM	28	0.0	0.0	51.333333333333336	9	0.11927023638727523	12	0.11927023638727523	133	0.0
KEGG_GLYCEROLIPID_METABOLISM	29	0.013466679946219232	0.124743982659715	52.0	22	0.16728302279693283	19	0.16728302279693283	115	0.028571429
KEGG_JAK_STAT_SIGNALING_PATHWAY	30	0.08046651323418891	0.5446963972775865	52.0	32	0.43990350010614987	32	0.43990350010614987	92	0.016759777
KEGG_ARACHIDONIC_ACID_METABOLISM	31	0.0066069651816359045	0.07752172479786129	52.333333333333336	23	0.19483110231887726	20	0.19483110231887726	114	0.005063291
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	32	0.0715492974855014	0.5336284040612648	56.666666666666664	35	0.5476185762879454	35	0.5476185762879454	100	0.002754821
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	33	0.0	0.0	60.666666666666664	28	0.36148583520362737	29	0.36148583520362737	125	0.0
KEGG_TYPE_I_DIABETES_MELLITUS	34	0.0	0.0	60.666666666666664	11	0.14200964902135554	14	0.14200964902135554	157	0.0
KEGG_INSULIN_SIGNALING_PATHWAY	35	0.0	0.0	62.333333333333336	30	0.39181213445303925	31	0.39181213445303925	126	0.0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	36	0.0	0.0	71.0	37	0.6374336032065356	37	0.6374336032065356	139	0.0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	37	0.0	0.0	72.0	36	0.6277824465433957	36	0.6277824465433957	144	0.0
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	38	1.0	1.0	72.66666666666667	176	1.0	39	1.0	3	0.4122807
KEGG_ALZHEIMERS_DISEASE	39	0.0	0.0	72.66666666666667	33	0.4604935119741926	33	0.4604935119741926	152	0.0
KEGG_MISMATCH_REPAIR	40	1.0	1.0	73.33333333333333	176	1.0	39	1.0	5	0.5969125
KEGG_PROTEIN_EXPORT	41	1.0	1.0	73.66666666666667	176	1.0	39	1.0	6	0.6994633
KEGG_ADHERENS_JUNCTION	42	1.0	1.0	74.0	176	1.0	39	1.0	7	0.9023179
KEGG_RNA_DEGRADATION	43	1.0	1.0	74.33333333333333	176	1.0	39	1.0	8	0.9084629
KEGG_RNA_POLYMERASE	44	1.0	1.0	74.66666666666667	176	1.0	39	1.0	9	0.8680556
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	45	1.0	1.0	75.0	176	1.0	39	1.0	10	0.9201878
KEGG_DNA_REPLICATION	46	1.0	1.0	75.66666666666667	176	1.0	39	1.0	12	0.85583526
KEGG_LINOLEIC_ACID_METABOLISM	47	1.0	1.0	76.0	176	1.0	39	1.0	13	0.8440594
KEGG_NUCLEOTIDE_EXCISION_REPAIR	48	1.0	1.0	76.33333333333333	176	1.0	39	1.0	14	0.79006773
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	49	1.0	1.0	76.66666666666667	176	1.0	39	1.0	15	0.71670705
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	50	1.0	1.0	77.0	176	1.0	39	1.0	16	0.7598152
KEGG_BASAL_TRANSCRIPTION_FACTORS	51	1.0	1.0	77.33333333333333	176	1.0	39	1.0	17	0.7635135
KEGG_N_GLYCAN_BIOSYNTHESIS	52	1.0	1.0	77.66666666666667	176	1.0	39	1.0	18	0.74523807
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	53	1.0	1.0	78.0	176	1.0	39	1.0	19	0.6438356
KEGG_BASAL_CELL_CARCINOMA	54	1.0	1.0	78.33333333333333	176	1.0	39	1.0	20	0.6467662
KEGG_CELL_CYCLE	55	1.0	1.0	79.0	176	1.0	39	1.0	22	0.65847
KEGG_BASE_EXCISION_REPAIR	56	1.0	1.0	79.33333333333333	176	1.0	39	1.0	23	0.5492958
KEGG_NOTCH_SIGNALING_PATHWAY	57	1.0	1.0	79.66666666666667	176	1.0	39	1.0	24	0.48598132
KEGG_ONE_CARBON_POOL_BY_FOLATE	58	1.0	1.0	80.0	176	1.0	39	1.0	25	0.47331786
KEGG_SMALL_CELL_LUNG_CANCER	59	1.0	1.0	80.33333333333333	176	1.0	39	1.0	26	0.43980345
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	60	1.0	1.0	80.66666666666667	176	1.0	39	1.0	27	0.43982494
KEGG_NON_SMALL_CELL_LUNG_CANCER	61	1.0	1.0	81.0	176	1.0	39	1.0	28	0.4387755
KEGG_ENDOMETRIAL_CANCER	62	1.0	1.0	81.33333333333333	176	1.0	39	1.0	29	0.40931374
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	63	1.0	1.0	82.0	176	1.0	39	1.0	31	0.43636364
KEGG_LYSINE_DEGRADATION	64	1.0	1.0	82.66666666666667	176	1.0	39	1.0	33	0.34834123
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	65	1.0	1.0	83.33333333333333	176	1.0	39	1.0	35	0.36622807
KEGG_HEDGEHOG_SIGNALING_PATHWAY	66	1.0	1.0	84.0	176	1.0	39	1.0	37	0.30133334
KEGG_VIBRIO_CHOLERAE_INFECTION	67	1.0	1.0	84.33333333333333	176	1.0	39	1.0	38	0.31670824
KEGG_TASTE_TRANSDUCTION	68	1.0	1.0	84.66666666666667	176	1.0	39	1.0	39	0.31025642
KEGG_RENIN_ANGIOTENSIN_SYSTEM	69	1.0	1.0	85.0	176	1.0	39	1.0	40	0.29032257
KEGG_SELENOAMINO_ACID_METABOLISM	70	1.0	1.0	85.33333333333333	176	1.0	39	1.0	41	0.3160494
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	71	1.0	1.0	86.33333333333333	176	1.0	39	1.0	44	0.25536993
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	72	1.0	1.0	86.66666666666667	176	1.0	39	1.0	45	0.27083334
KEGG_PENTOSE_PHOSPHATE_PATHWAY	73	1.0	1.0	88.0	176	1.0	39	1.0	49	0.25458714
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	74	1.0	1.0	88.66666666666667	176	1.0	39	1.0	51	0.160221
KEGG_THYROID_CANCER	75	1.0	1.0	89.33333333333333	176	1.0	39	1.0	53	0.27039626
KEGG_ECM_RECEPTOR_INTERACTION	76	1.0	1.0	90.0	176	1.0	39	1.0	55	0.14441417
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	77	1.0	1.0	90.33333333333333	176	1.0	39	1.0	56	0.18377088
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	78	1.0	1.0	90.66666666666667	176	1.0	39	1.0	57	0.19565217
KEGG_TIGHT_JUNCTION	79	1.0	1.0	91.0	176	1.0	39	1.0	58	0.12793733
KEGG_WNT_SIGNALING_PATHWAY	80	1.0	1.0	91.33333333333333	176	1.0	39	1.0	59	0.09836066
KEGG_ERBB_SIGNALING_PATHWAY	81	1.0	1.0	92.0	176	1.0	39	1.0	61	0.10209424
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	82	1.0	1.0	92.33333333333333	176	1.0	39	1.0	62	0.20554273
KEGG_INOSITOL_PHOSPHATE_METABOLISM	83	1.0	1.0	92.66666666666667	176	1.0	39	1.0	63	0.13411765
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	84	1.0	1.0	93.33333333333333	176	1.0	39	1.0	65	0.10046729
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	85	1.0	1.0	93.66666666666667	176	1.0	39	1.0	66	0.15496369
KEGG_P53_SIGNALING_PATHWAY	86	1.0	1.0	94.0	176	1.0	39	1.0	67	0.10789473
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	87	1.0	1.0	94.33333333333333	176	1.0	39	1.0	68	0.09848485
KEGG_NITROGEN_METABOLISM	88	1.0	1.0	94.66666666666667	176	1.0	39	1.0	69	0.1626898
KEGG_DORSO_VENTRAL_AXIS_FORMATION	89	1.0	1.0	95.0	176	1.0	39	1.0	70	0.16666667
KEGG_LONG_TERM_DEPRESSION	90	1.0	1.0	95.66666666666667	176	1.0	39	1.0	72	0.10705596
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	91	1.0	1.0	96.0	176	1.0	39	1.0	73	0.17090069
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	92	1.0	1.0	96.66666666666667	176	1.0	39	1.0	75	0.10514019
KEGG_REGULATION_OF_AUTOPHAGY	93	1.0	1.0	97.66666666666667	176	1.0	39	1.0	78	0.09879518
KEGG_MELANOGENESIS	94	1.0	1.0	98.0	176	1.0	39	1.0	79	0.03875969
KEGG_PROSTATE_CANCER	95	1.0	1.0	98.33333333333333	176	1.0	39	1.0	80	0.054455444
KEGG_PHENYLALANINE_METABOLISM	96	1.0	1.0	98.66666666666667	176	1.0	39	1.0	81	0.12962963
KEGG_CHRONIC_MYELOID_LEUKEMIA	97	1.0	1.0	99.0	176	1.0	39	1.0	82	0.053984575
KEGG_PRIMARY_IMMUNODEFICIENCY	98	1.0	1.0	99.66666666666667	176	1.0	39	1.0	84	0.1047836
KEGG_GLIOMA	99	1.0	1.0	100.0	176	1.0	39	1.0	85	0.06410257
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	100	1.0	1.0	100.66666666666667	176	1.0	39	1.0	87	0.0990099
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	101	1.0	1.0	101.0	176	1.0	39	1.0	88	0.13274336
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	102	1.0	1.0	101.33333333333333	176	1.0	39	1.0	89	0.03233831
KEGG_TYROSINE_METABOLISM	103	1.0	1.0	101.66666666666667	176	1.0	39	1.0	90	0.090692125
KEGG_TGF_BETA_SIGNALING_PATHWAY	104	1.0	1.0	102.0	176	1.0	39	1.0	91	0.05026455
KEGG_PYRIMIDINE_METABOLISM	105	1.0	1.0	102.66666666666667	176	1.0	39	1.0	93	0.024570024
KEGG_ETHER_LIPID_METABOLISM	106	1.0	1.0	103.33333333333333	176	1.0	39	1.0	95	0.06712963
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	107	1.0	1.0	103.66666666666667	176	1.0	39	1.0	96	0.028708134
KEGG_PURINE_METABOLISM	108	1.0	1.0	104.0	176	1.0	39	1.0	97	0.0028169013
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	109	1.0	1.0	104.33333333333333	176	1.0	39	1.0	98	0.062801935
KEGG_O_GLYCAN_BIOSYNTHESIS	110	1.0	1.0	104.66666666666667	176	1.0	39	1.0	99	0.07481297
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	111	1.0	1.0	105.33333333333333	176	1.0	39	1.0	101	0.020942409
KEGG_LONG_TERM_POTENTIATION	112	1.0	1.0	105.66666666666667	176	1.0	39	1.0	102	0.026960785
KEGG_ENDOCYTOSIS	113	1.0	1.0	106.0	176	1.0	39	1.0	103	0.0026666666
KEGG_GAP_JUNCTION	114	1.0	1.0	106.33333333333333	176	1.0	39	1.0	104	0.0050890585
KEGG_COLORECTAL_CANCER	115	1.0	1.0	106.66666666666667	176	1.0	39	1.0	105	0.02110818
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	116	1.0	1.0	107.0	176	1.0	39	1.0	106	0.010840109
KEGG_STEROID_BIOSYNTHESIS	117	1.0	1.0	107.33333333333333	176	1.0	39	1.0	107	0.040380046
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	118	1.0	1.0	107.66666666666667	176	1.0	39	1.0	108	0.06392694
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	119	1.0	1.0	108.0	176	1.0	39	1.0	109	0.012077294
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	120	1.0	1.0	108.33333333333333	176	1.0	39	1.0	110	0.046116505
KEGG_PRION_DISEASES	121	1.0	1.0	108.66666666666667	176	1.0	39	1.0	111	0.024271844
KEGG_ACUTE_MYELOID_LEUKEMIA	122	1.0	1.0	109.0	176	1.0	39	1.0	112	0.012254902
KEGG_HISTIDINE_METABOLISM	123	1.0	1.0	109.33333333333333	176	1.0	39	1.0	113	0.02278481
KEGG_OOCYTE_MEIOSIS	124	1.0	1.0	110.33333333333333	176	1.0	39	1.0	116	0.007246377
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	125	1.0	1.0	110.66666666666667	176	1.0	39	1.0	117	0.0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	126	1.0	1.0	111.0	176	1.0	39	1.0	118	0.026506023
KEGG_OTHER_GLYCAN_DEGRADATION	127	1.0	1.0	111.33333333333333	176	1.0	39	1.0	119	0.05172414
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	128	1.0	1.0	111.66666666666667	176	1.0	39	1.0	120	0.017073171
KEGG_GALACTOSE_METABOLISM	129	1.0	1.0	112.0	176	1.0	39	1.0	121	0.018823529
KEGG_RIBOFLAVIN_METABOLISM	130	1.0	1.0	112.66666666666667	176	1.0	39	1.0	123	0.02183406
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	131	1.0	1.0	113.0	176	1.0	39	1.0	124	0.009708738
KEGG_STEROID_HORMONE_BIOSYNTHESIS	132	1.0	1.0	114.0	176	1.0	39	1.0	127	0.0022727272
KEGG_STARCH_AND_SUCROSE_METABOLISM	133	1.0	1.0	114.33333333333333	176	1.0	39	1.0	128	0.0071770335
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	134	1.0	1.0	114.66666666666667	176	1.0	39	1.0	129	0.002739726
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	135	1.0	1.0	115.0	176	1.0	39	1.0	130	0.01173709
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	136	1.0	1.0	115.33333333333333	176	1.0	39	1.0	131	0.0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	137	1.0	1.0	115.66666666666667	176	1.0	39	1.0	132	0.00243309
KEGG_HUNTINGTONS_DISEASE	138	1.0	1.0	116.33333333333333	176	1.0	39	1.0	134	0.0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	139	1.0	1.0	116.66666666666667	176	1.0	39	1.0	135	0.0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	140	1.0	1.0	117.0	176	1.0	39	1.0	136	0.0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	141	1.0	1.0	117.33333333333333	176	1.0	39	1.0	137	0.0
KEGG_TRYPTOPHAN_METABOLISM	142	1.0	1.0	117.66666666666667	176	1.0	39	1.0	138	0.002415459
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	143	1.0	1.0	118.33333333333333	176	1.0	39	1.0	140	0.0023094688
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	144	1.0	1.0	118.66666666666667	176	1.0	39	1.0	141	0.0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	145	1.0	1.0	119.0	176	1.0	39	1.0	142	0.0023640662
KEGG_LYSOSOME	146	1.0	1.0	119.33333333333333	176	1.0	39	1.0	143	0.0
KEGG_SPHINGOLIPID_METABOLISM	147	1.0	1.0	120.0	176	1.0	39	1.0	145	0.0022727272
KEGG_ARGININE_AND_PROLINE_METABOLISM	148	1.0	1.0	120.33333333333333	176	1.0	39	1.0	146	0.0
KEGG_PPAR_SIGNALING_PATHWAY	149	1.0	1.0	120.66666666666667	176	1.0	39	1.0	147	0.0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	150	1.0	1.0	121.0	176	1.0	39	1.0	148	0.0
KEGG_APOPTOSIS	151	1.0	1.0	121.33333333333333	176	1.0	39	1.0	149	0.0
KEGG_ASTHMA	152	1.0	1.0	121.66666666666667	176	1.0	39	1.0	150	0.0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	153	1.0	1.0	122.0	176	1.0	39	1.0	151	0.0
KEGG_PROPANOATE_METABOLISM	154	1.0	1.0	122.66666666666667	176	1.0	39	1.0	153	0.0023255814
KEGG_HEMATOPOIETIC_CELL_LINEAGE	155	1.0	1.0	123.0	176	1.0	39	1.0	154	0.0
KEGG_PYRUVATE_METABOLISM	156	1.0	1.0	123.33333333333333	176	1.0	39	1.0	155	0.0024390244
KEGG_CITRATE_CYCLE_TCA_CYCLE	157	1.0	1.0	123.66666666666667	176	1.0	39	1.0	156	0.0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	158	1.0	1.0	124.33333333333333	176	1.0	39	1.0	158	0.0
KEGG_GLUTATHIONE_METABOLISM	159	1.0	1.0	124.66666666666667	176	1.0	39	1.0	159	0.0
KEGG_VIRAL_MYOCARDITIS	160	1.0	1.0	125.0	176	1.0	39	1.0	160	0.0
KEGG_ALLOGRAFT_REJECTION	161	1.0	1.0	125.33333333333333	176	1.0	39	1.0	161	0.0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	162	1.0	1.0	125.66666666666667	176	1.0	39	1.0	162	0.0
KEGG_RETINOL_METABOLISM	163	1.0	1.0	126.0	176	1.0	39	1.0	163	0.0
KEGG_OXIDATIVE_PHOSPHORYLATION	164	1.0	1.0	126.33333333333333	176	1.0	39	1.0	164	0.0
KEGG_PARKINSONS_DISEASE	165	1.0	1.0	126.66666666666667	176	1.0	39	1.0	165	0.0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	166	1.0	1.0	127.0	176	1.0	39	1.0	166	0.0
KEGG_CELL_ADHESION_MOLECULES_CAMS	167	1.0	1.0	127.33333333333333	176	1.0	39	1.0	167	0.0
KEGG_AUTOIMMUNE_THYROID_DISEASE	168	1.0	1.0	127.66666666666667	176	1.0	39	1.0	168	0.0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	169	1.0	1.0	128.0	176	1.0	39	1.0	169	0.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	170	1.0	1.0	128.33333333333334	176	1.0	39	1.0	170	0.0
KEGG_LEISHMANIA_INFECTION	171	1.0	1.0	128.66666666666666	176	1.0	39	1.0	171	0.0
KEGG_PEROXISOME	172	1.0	1.0	129.0	176	1.0	39	1.0	172	0.0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	173	1.0	1.0	129.33333333333334	176	1.0	39	1.0	173	0.0
KEGG_FATTY_ACID_METABOLISM	174	1.0	1.0	129.66666666666666	176	1.0	39	1.0	174	0.0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	175	1.0	1.0	130.0	176	1.0	39	1.0	175	0.0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	176	1.0	1.0	130.33333333333334	176	1.0	39	1.0	176	0.0
