Pathway	#Overlap Gene	p-value	FDR
KEGG_PRIMARY_IMMUNODEFICIENCY	0	1.0	1.0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0	1.0	1.0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0	1.0	1.0
KEGG_DILATED_CARDIOMYOPATHY	0	1.0	1.0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0.20381415499959668	0.8463767120694052
KEGG_CITRATE_CYCLE_TCA_CYCLE	0	1.0	1.0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	0.09593295401666213	0.7703596265713903
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.09930445148443523	0.7703596265713903
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0.11266579696375331	0.7703596265713903
KEGG_GALACTOSE_METABOLISM	0	1.0	1.0
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.08915224183440658	0.7703596265713903
KEGG_FATTY_ACID_METABOLISM	0	1.0	1.0
KEGG_STEROID_BIOSYNTHESIS	0	1.0	1.0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1	0.058007403800824676	0.7703596265713903
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3	0.0011603049370741527	0.10210683446252543
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.3872471966656199	1.0
KEGG_PURINE_METABOLISM	2	0.11538332298389767	0.7703596265713903
KEGG_PYRIMIDINE_METABOLISM	2	0.0511043058883346	0.7703596265713903
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0	1.0	1.0
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0	1.0	1.0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0	1.0	1.0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0	1.0	1.0
KEGG_LYSINE_DEGRADATION	0	1.0	1.0
KEGG_ARGININE_AND_PROLINE_METABOLISM	1	0.1827043623262966	0.8104238558093656
KEGG_HISTIDINE_METABOLISM	0	1.0	1.0
KEGG_TYROSINE_METABOLISM	0	1.0	1.0
KEGG_PHENYLALANINE_METABOLISM	0	1.0	1.0
KEGG_TRYPTOPHAN_METABOLISM	1	0.13557530602691914	0.8104238558093656
KEGG_BETA_ALANINE_METABOLISM	0	1.0	1.0
KEGG_SELENOAMINO_ACID_METABOLISM	0	1.0	1.0
KEGG_GLUTATHIONE_METABOLISM	3	0.000828324384600967	0.10210683446252543
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0.17348769492330465	0.8104238558093656
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.14521259562689587	0.8104238558093656
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0	1.0	1.0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0	1.0	1.0
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0	1.0	1.0
KEGG_PYRUVATE_METABOLISM	0	1.0	1.0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0	1.0	1.0
KEGG_PROPANOATE_METABOLISM	0	1.0	1.0
KEGG_BUTANOATE_METABOLISM	0	1.0	1.0
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.06151961496839868	0.7703596265713903
KEGG_RETINOL_METABOLISM	2	0.023955614875291544	0.6023126025787588
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1	0.13879968848793278	0.8104238558093656
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0	1.0	1.0
KEGG_NITROGEN_METABOLISM	0	1.0	1.0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	3	0.002230365937535921	0.13084813500210737
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2	0.02903360710069716	0.6387393562153375
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.17348769492330465	0.8104238558093656
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0	1.0	1.0
KEGG_ABC_TRANSPORTERS	0	1.0	1.0
KEGG_RNA_DEGRADATION	0	1.0	1.0
KEGG_RNA_POLYMERASE	0	1.0	1.0
KEGG_DNA_REPLICATION	0	1.0	1.0
KEGG_SPLICEOSOME	0	1.0	1.0
KEGG_PROTEIN_EXPORT	0	1.0	1.0
KEGG_PPAR_SIGNALING_PATHWAY	1	0.22727605580055735	0.8667745017562558
KEGG_BASE_EXCISION_REPAIR	0	1.0	1.0
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0	1.0	1.0
KEGG_MISMATCH_REPAIR	0	1.0	1.0
KEGG_HOMOLOGOUS_RECOMBINATION	0	1.0	1.0
KEGG_MAPK_SIGNALING_PATHWAY	2	0.2542053605983661	0.8667745017562558
KEGG_ERBB_SIGNALING_PATHWAY	1	0.2721558840005796	0.8667745017562558
KEGG_CALCIUM_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	3	0.07658821463096967	0.7703596265713903
KEGG_CHEMOKINE_SIGNALING_PATHWAY	2	0.15568404539113484	0.8104238558093656
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0	1.0	1.0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	2	0.2679756663481517	0.8667745017562558
KEGG_CELL_CYCLE	0	1.0	1.0
KEGG_OOCYTE_MEIOSIS	0	1.0	1.0
KEGG_P53_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0	1.0	1.0
KEGG_REGULATION_OF_AUTOPHAGY	1	0.12255721331817573	0.7703596265713903
KEGG_ENDOCYTOSIS	0	1.0	1.0
KEGG_PEROXISOME	0	1.0	1.0
KEGG_MTOR_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_APOPTOSIS	1	0.2775803016519379	0.8667745017562558
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0	1.0	1.0
KEGG_WNT_SIGNALING_PATHWAY	1	0.42932315033247354	1.0
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0	1.0	1.0
KEGG_NOTCH_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_TGF_BETA_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_AXON_GUIDANCE	0	1.0	1.0
KEGG_VEGF_SIGNALING_PATHWAY	1	0.2472401381404502	0.8667745017562558
KEGG_FOCAL_ADHESION	2	0.16877589046612482	0.8104238558093656
KEGG_ECM_RECEPTOR_INTERACTION	1	0.2694284970596189	0.8667745017562558
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.3872471966656199	1.0
KEGG_ADHERENS_JUNCTION	0	1.0	1.0
KEGG_TIGHT_JUNCTION	2	0.08508180064190057	0.7703596265713903
KEGG_GAP_JUNCTION	1	0.2856415971696752	0.8667745017562558
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0	1.0	1.0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0	1.0	1.0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0	1.0	1.0
KEGG_JAK_STAT_SIGNALING_PATHWAY	2	0.11417174533718821	0.7703596265713903
KEGG_HEMATOPOIETIC_CELL_LINEAGE	2	0.04032799401893798	0.7703596265713903
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0	1.0	1.0
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0	1.0	1.0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.34943054059237666	1.0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0	1.0	1.0
KEGG_LONG_TERM_POTENTIATION	0	1.0	1.0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.3614911895557396	1.0
KEGG_LONG_TERM_DEPRESSION	0	1.0	1.0
KEGG_OLFACTORY_TRANSDUCTION	0	1.0	1.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.5476252896907498	1.0
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.39181778837754105	1.0
KEGG_GNRH_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0	1.0	1.0
KEGG_MELANOGENESIS	0	1.0	1.0
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0	1.0	1.0
KEGG_TYPE_II_DIABETES_MELLITUS	0	1.0	1.0
KEGG_TYPE_I_DIABETES_MELLITUS	0	1.0	1.0
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0	1.0	1.0
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2	0.010791931467578932	0.47484498457347296
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0	1.0	1.0
KEGG_ALZHEIMERS_DISEASE	1	0.46049973785712645	1.0
KEGG_PARKINSONS_DISEASE	0	1.0	1.0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.17964355924909742	0.8104238558093656
KEGG_HUNTINGTONS_DISEASE	0	1.0	1.0
KEGG_PRION_DISEASES	0	1.0	1.0
KEGG_VIBRIO_CHOLERAE_INFECTION	0	1.0	1.0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0	1.0	1.0
KEGG_LEISHMANIA_INFECTION	0	1.0	1.0
KEGG_PATHWAYS_IN_CANCER	3	0.12214435317967283	0.7703596265713903
KEGG_COLORECTAL_CANCER	1	0.20678521942604788	0.8463767120694052
KEGG_RENAL_CELL_CARCINOMA	0	1.0	1.0
KEGG_PANCREATIC_CANCER	1	0.23015999975890428	0.8667745017562558
KEGG_ENDOMETRIAL_CANCER	1	0.17657135087628248	0.8104238558093656
KEGG_GLIOMA	0	1.0	1.0
KEGG_PROSTATE_CANCER	1	0.28296449327659196	0.8667745017562558
KEGG_THYROID_CANCER	0	1.0	1.0
KEGG_BASAL_CELL_CARCINOMA	0	1.0	1.0
KEGG_MELANOMA	1	0.2330332339397358	0.8667745017562558
KEGG_BLADDER_CANCER	0	1.0	1.0
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.23874773111366432	0.8667745017562558
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.18575380223702434	0.8104238558093656
KEGG_SMALL_CELL_LUNG_CANCER	1	0.2694284970596189	0.8667745017562558
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.1827043623262966	0.8104238558093656
KEGG_ASTHMA	0	1.0	1.0
KEGG_AUTOIMMUNE_THYROID_DISEASE	0	1.0	1.0
KEGG_ALLOGRAFT_REJECTION	0	1.0	1.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	0	1.0	1.0
KEGG_VIRAL_MYOCARDITIS	0	1.0	1.0
